City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
Roald,62.5833,6.1333,6.29,87,62,2.57,NO,1636850089
Dongsheng,39.8161,109.9776,0.14,30,0,4.79,CN,1636850089
San Benito,36.6166,-121.0844,16.75,49,0,1.69,US,1636850090
Iqaluit,63.7506,-68.5145,-21.15,77,20,11.32,CA,1636850091
Liberta,17.0333,-61.7833,26.3,25,40,0.89,AG,1636850092
Sri Aman,1.2376,111.4621,25.05,94,40,0.0,MY,1636850093
Thornhill,55.2333,-3.7667,8.12,94,21,0.63,GB,1636849871
Duluth,46.7833,-92.1066,1.28,69,90,1.34,US,1636849968
Gabú,12.2833,-14.2167,26.49,35,100,1.2,GW,1636850094
Damāvand,35.7178,52.065,0.91,48,0,1.06,IR,1636850095
Esperance,-33.8667,121.9,14.91,52,41,3.22,AU,1636850096
Kamen'-Rybolov,44.7481,132.0403,3.42,70,45,3.67,RU,1636850096
Nālūt,30.3333,10.85,16.55,59,0,5.67,LY,1636850097
Plyussa,58.4308,29.3654,2.02,91,100,1.63,RU,1636850098
Vostok,46.4856,135.8833,-0.91,91,100,1.11,RU,1636850099
Djibo,14.1022,-1.6306,26.5,17,14,4.04,BF,1636850099
Iralaya,15.0,-83.2333,28.05,88,69,3.28,HN,1636850100
Liverpool,53.4106,-2.9779,10.38,91,16,1.03,GB,1636850101
Dali,25.7,100.1833,11.5,87,65,0.29,CN,1636850102
Panabá,21.2833,-88.2667,23.6,79,100,3.69,MX,1636850103
Buala,-8.145,159.5921,30.62,63,19,2.5,SB,1636850103
Amalāpuram,16.5833,82.0167,24.21,94,42,2.36,IN,1636850104
Kirkland Lake,48.1446,-80.0377,-0.84,93,99,3.81,CA,1636850105
Tabuk,17.4189,121.4443,26.32,82,60,0.62,PH,1636850106
Phoenixville,40.1304,-75.5149,6.01,67,1,0.45,US,1636849831
Hualmay,-11.0964,-77.6139,17.73,83,56,3.61,PE,1636850107
Cidreira,-30.1811,-50.2056,19.44,73,0,11.52,BR,1636850108
Rocha,-34.4833,-54.3333,16.37,77,11,7.13,UY,1636850109
North Bend,43.4065,-124.2243,15.95,94,75,3.09,US,1636850110
Santa Rosa,14.3122,121.1114,29.99,75,57,3.95,PH,1636849857
Suzun,53.7841,82.3116,-1.07,95,100,5.61,RU,1636849931
Camapuã,-19.5314,-54.0439,24.52,69,100,2.73,BR,1636850112
Arona,28.0996,-16.681,15.4,63,20,0.45,ES,1636850113
Sistranda,63.7256,8.834,1.61,66,10,7.84,NO,1636850114
São Filipe,14.8961,-24.4956,23.98,73,46,4.23,CV,1636850115
Kahului,20.8947,-156.47,30.59,57,40,5.66,US,1636849983
Namatanai,-3.6667,152.4333,29.51,70,63,2.07,PG,1636850116
Galesburg,40.9478,-90.3712,2.23,78,90,0.89,US,1636850117
Namie,37.4833,141.0,16.1,64,82,1.13,JP,1636850117
Tezu,27.9167,96.1667,17.16,45,2,1.55,IN,1636850118
Shanhecun,44.7,127.2,-1.15,86,88,4.21,CN,1636850119
Hapao,16.8797,121.016,24.29,77,25,1.43,PH,1636850120
Paraíso,9.8383,-83.8656,21.48,95,72,1.63,CR,1636850120
Rakiv Lis,51.6217,24.9243,3.36,95,95,3.42,UA,1636850121
Yumen,40.2833,97.2,-1.23,39,100,6.81,CN,1636850122
Terekli-Mekteb,44.1671,45.8698,4.47,73,0,2.4,RU,1636850123
Ambon City,-3.6954,128.1814,28.08,78,40,1.54,ID,1636850124
Mongaguá,-24.0931,-46.6208,21.07,85,88,4.12,BR,1636850124
Alexandria,31.2156,29.9553,20.98,78,40,2.06,EG,1636850013
Marawi,7.9986,124.2928,23.69,74,97,0.44,PH,1636850126
Gamba,-2.65,10.0,23.98,92,100,1.63,GA,1636850126
Aklavik,68.2191,-135.0107,-10.0,85,90,2.57,CA,1636850127
Terney,45.0503,136.6092,7.23,56,100,2.25,RU,1636850128
Gobabis,-22.45,18.9667,22.5,37,100,3.14,NA,1636850129
Sānand,22.9833,72.3833,17.12,34,100,3.7,IN,1636850129
Termez,37.2242,67.2783,8.05,71,40,2.06,UZ,1636850130
Dumas,35.8656,-101.9732,18.68,25,1,1.54,US,1636849871
Novoagansk,61.9449,76.6625,-15.63,97,100,2.49,RU,1636850131
Mossamedes,-15.1961,12.1522,20.4,86,56,3.34,AO,1636850132
Bandarbeyla,9.4942,50.8122,25.28,78,35,5.42,SO,1636850133
Anadyr,64.75,177.4833,-0.72,86,90,5.0,RU,1636850135
Chake Chake,-5.2459,39.7666,24.43,84,100,2.56,TZ,1636850136
Freeport,40.6576,-73.5832,7.14,67,1,4.02,US,1636850094
Deputatsky,69.3,139.9,-24.79,100,100,0.81,RU,1636850137
Fare,-16.7,-151.0167,26.08,66,100,4.94,PF,1636850138
Kars,40.602,43.095,-5.53,93,0,0.0,TR,1636850042
Aksha,50.2814,113.2867,-4.59,78,9,2.44,RU,1636850139
Shwebo,22.5667,95.7,22.47,96,100,1.57,MM,1636850139
Faya,18.3851,42.4509,11.29,49,1,0.4,SA,1636850140
Cayenne,4.9333,-52.3333,27.27,83,20,1.34,GF,1636850141
Fredericksburg,38.3032,-77.4605,7.62,58,1,1.54,US,1636849854
Labuhan,-6.8844,112.2051,26.1,85,100,2.58,ID,1636850143
Suntar,62.1444,117.6319,-23.63,99,13,1.41,RU,1636850143
Camacha,33.0833,-16.3333,18.42,72,40,3.6,PT,1636850144
Santa Marta,11.2408,-74.199,26.81,80,97,5.8,CO,1636849964
Maltahöhe,-24.8333,16.9833,23.53,16,0,8.45,NA,1636850145
Camopi,3.1655,-52.3158,22.95,96,41,1.38,GF,1636850146
Koubia,11.5833,-11.9,21.87,46,100,1.38,GN,1636850147
Peterhead,57.5058,-1.7981,10.22,91,100,7.08,GB,1636850112
Durusu,41.3053,28.6767,8.24,94,97,1.79,TR,1636850148
Gusino,54.7244,31.368,0.78,87,100,2.34,RU,1636850149
Mareeba,-17.0,145.4333,29.71,57,24,3.09,AU,1636850149
Vangaindrano,-23.35,47.6,22.15,93,99,3.09,MG,1636850150
Emerald,-23.5333,148.1667,25.19,27,0,2.57,AU,1636850151
Abu Samrah,35.3029,37.1841,13.74,33,100,3.14,SY,1636850152
Erenhot,43.6475,111.9767,-3.04,66,0,2.19,CN,1636850152
Fort Nelson,58.8053,-122.7002,-9.23,92,20,3.09,CA,1636850095
Basco,20.4487,121.9702,26.1,78,93,10.82,PH,1636850154
Kirkenær,60.4564,12.0582,1.71,91,12,1.47,NO,1636850154
Hofn,64.2539,-15.2082,8.58,99,100,7.47,IS,1636850155
Lincoln,40.8,-96.667,5.95,67,1,0.45,US,1636850156
Antofagasta,-23.65,-70.4,16.6,80,100,2.44,CL,1636849895
Singaraja,-8.112,115.0882,27.76,75,90,0.71,ID,1636850158
Trzebiatów,54.0615,15.2648,6.03,79,81,2.65,PL,1636850158
Vestmannaeyjar,63.4427,-20.2734,9.5,90,100,16.58,IS,1636850159
Berezovyy,51.6667,135.7,-3.93,58,4,3.63,RU,1636850160
Kholm-Zhirkovskiy,55.5189,33.4731,1.03,80,100,1.79,RU,1636850161
Bubaque,11.2833,-15.8333,28.83,71,100,5.64,GW,1636850163
Tsimmerbude,54.675,20.1347,5.03,92,93,3.27,RU,1636850163
Kununurra,-15.7667,128.7333,31.99,27,48,5.66,AU,1636850164
Northam,51.0333,-4.2167,12.01,82,69,1.75,GB,1636850165
Mozarlândia,-14.7447,-50.5706,22.69,85,98,0.98,BR,1636850166
Eslöv,55.8393,13.3039,7.08,87,100,3.37,SE,1636850166
Araceli,10.5529,119.9913,27.87,78,100,4.04,PH,1636850167
Pahrump,36.2083,-115.9839,25.8,22,5,0.68,US,1636850168
San Lorenzo,-25.3333,-57.5333,26.52,57,0,3.13,PY,1636850169
Urzhum,57.1141,49.9996,-5.12,87,60,5.15,RU,1636850169
San Bernardino,34.6667,-116.1675,27.48,24,0,2.14,US,1636850171
Wonopringgo,-6.9833,109.6167,25.57,86,100,0.98,ID,1636850171
Nador,35.174,-2.9287,14.14,94,0,1.03,MA,1636850172
De Panne,51.0792,2.5917,11.16,95,90,3.09,BE,1636850173
Ratnagiri,16.9833,73.3,26.11,70,53,1.54,IN,1636850174
Balikpapan,-1.2675,116.8289,26.55,89,20,3.09,ID,1636850175
Plettenberg Bay,-34.0527,23.3716,15.94,85,100,2.93,ZA,1636850176
Salalah,17.0151,54.0924,23.05,43,0,0.0,OM,1636850177
Xi'an,34.2583,108.9286,-0.55,36,0,1.04,CN,1636850178
Dembī Dolo,8.5333,34.8,13.83,87,9,2.25,ET,1636850179
Fairbanks,64.8378,-147.7164,-17.09,78,1,0.0,US,1636849907
Vilyuysk,63.7553,121.6247,-26.54,95,12,2.08,RU,1636850180
Taseyevo,57.2169,94.8978,-3.01,85,100,3.02,RU,1636850180
Ucluelet,48.9329,-125.5528,6.64,91,100,0.45,CA,1636850175
Hede,33.7681,120.2517,12.06,54,0,3.38,CN,1636850182
Ambilobe,-13.2,49.05,23.11,82,93,1.8,MG,1636850182
Japura,-0.3167,102.35,25.19,87,100,0.66,ID,1636850183
Olutanga,7.3106,122.8464,28.31,73,44,1.53,PH,1636850184
Zyryanka,65.75,150.85,-15.6,95,100,4.32,RU,1636850185
Hohhot,40.8106,111.6522,-7.84,79,0,1.0,CN,1636850185
Burnie,-41.0667,145.9167,10.15,84,99,6.4,AU,1636850186
Kokoda,-8.8785,147.7407,32.49,54,95,2.62,PG,1636850188
Mizdah,31.4451,12.9801,15.16,82,35,7.08,LY,1636850188
Rundu,-17.9333,19.7667,24.7,35,23,1.61,NA,1636850189
Kolāras,25.2333,77.6,14.79,44,93,1.55,IN,1636850190
Altamira,-3.2033,-52.2064,25.16,81,57,1.17,BR,1636850191
Panzhihua,26.5851,101.7128,13.08,80,100,0.24,CN,1636850191
Haimen,23.1935,116.6142,17.94,62,18,4.0,CN,1636850192
Yablochnyy,47.1661,142.0661,1.97,71,100,4.67,RU,1636850193
Kupang,-10.1667,123.5833,27.32,89,20,1.03,ID,1636850194
Lingao,19.9103,109.6859,22.7,63,60,5.78,CN,1636850195
Clyde River,70.4692,-68.5914,-20.37,88,50,3.27,CA,1636850196
Dingle,10.9995,122.6711,28.41,81,96,4.21,PH,1636850197
Guerrero Negro,27.9769,-114.0611,22.32,43,68,3.47,MX,1636850197
Homer,59.6425,-151.5483,-4.06,79,1,3.09,US,1636850052
Ati,13.2154,18.3353,28.13,15,4,5.82,TD,1636850199
Half Moon Bay,37.4636,-122.4286,22.99,73,1,7.72,US,1636850199
Honningsvåg,70.9821,25.9704,-1.26,94,100,5.45,NO,1636850200
La Peca,-5.6111,-78.435,21.73,76,26,1.72,PE,1636850201
Acaraú,-2.8856,-40.12,27.02,79,21,5.35,BR,1636850201
Charters Towers,-20.1,146.2667,28.16,19,5,3.16,AU,1636850202
Aksarka,66.5606,67.7975,-15.41,91,100,1.9,RU,1636850203
Benjamin Constant,-4.3831,-70.0311,26.07,92,49,0.64,BR,1636850204
Huaidian,33.4333,115.0333,11.54,48,0,2.37,CN,1636850205
Nome,64.5011,-165.4064,-6.96,86,90,3.09,US,1636850178
Manokwari,-0.8667,134.0833,28.62,72,100,1.86,ID,1636850206
Fara in Sabina,42.2089,12.7292,12.14,94,100,1.34,IT,1636850207
Chhor,25.5167,69.7667,20.98,19,0,1.74,PK,1636850207
Miracema do Tocantins,-9.5618,-48.3967,24.7,88,93,1.8,BR,1636850208
Chu,43.5983,73.7614,2.35,64,100,1.89,KZ,1636850209
Adré,13.4667,22.2,23.34,19,0,6.4,TD,1636850210
Muroto-misakicho,33.2833,134.15,13.02,61,92,1.48,JP,1636850210
Nioro,13.35,-15.75,27.36,39,100,1.37,GM,1636850211
Nhulunbuy,-12.2333,136.7667,31.34,51,40,9.77,AU,1636850212
Moctezuma,29.8,-109.6667,22.65,23,7,1.84,MX,1636850212
Newport,51.5877,-2.9984,11.06,87,3,2.14,GB,1636849771
Tuatapere,-46.1333,167.6833,13.69,72,95,1.33,NZ,1636850214
Banda Aceh,5.5577,95.3222,26.66,79,100,5.27,ID,1636850215
Bongandanga,1.5,21.05,20.66,100,100,1.18,CD,1636850215
Payson,40.0444,-111.7321,13.56,61,1,2.06,US,1636850216
Praxédis Guerrero,31.3667,-106.0167,22.77,20,0,2.52,MX,1636850217
Viranşehir,37.2353,39.7631,11.73,42,91,1.7,TR,1636850218
Billings Metropolitan Area,45.7833,-108.5007,12.74,21,75,10.8,US,1636850177
Kaitangata,-46.2817,169.8464,9.92,97,100,1.64,NZ,1636850219
Neyvo-Shaytanskiy,57.7286,61.2496,-4.09,95,100,2.99,RU,1636850220
Florø,61.5996,5.0328,4.98,93,37,3.09,NO,1636850220
Morondava,-20.2833,44.2833,24.07,88,3,1.6,MG,1636850222
Sisimiut,66.9395,-53.6735,-14.37,86,15,3.87,GL,1636850223
Evensk,61.95,159.2333,0.33,93,100,5.75,RU,1636850224
Tucumcari,35.1717,-103.725,18.91,18,1,1.54,US,1636850224
Vila Velha,-20.3297,-40.2925,18.97,94,90,0.45,BR,1636850225
Dmitriyevka,54.75,55.3333,-1.25,95,100,5.92,RU,1636850226
Yong’an,39.6957,113.6871,0.65,59,0,2.01,CN,1636850227
Pisco,-13.7,-76.2167,18.34,82,20,3.6,PE,1636850227
Nadym,65.5333,72.5167,-17.91,82,10,3.23,RU,1636850228
Isangel,-19.55,169.2667,28.06,78,75,2.57,VU,1636850229
Atar,20.5169,-13.0499,25.79,36,40,1.58,MR,1636850230
Road Town,18.4167,-64.6167,28.02,78,20,3.09,VG,1636850230
Biltine,14.5333,20.9167,25.75,16,0,6.34,TD,1636850231
